[INF] Relay controller initialized with 2 relay(s)

--- WELDED ---
CONSTANTLY_OPEN tick=18 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=19 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=20 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=21 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=22 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=23 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=24 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=25 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick=26 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick=27 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick=28 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick=29 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
[WRN] Relay fault detected -> entering ERROR state, opening all relays
[WRN]   Relay_NC_1: CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=30 | ctrl=ERROR | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=31 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=CLOSED fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=32 | ctrl=ERROR | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=33 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=34 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=35 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=36 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=37 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=38 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
CONSTANTLY_OPEN tick=39 | ctrl=ERROR | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=CONSTANTLY_OPEN
